last_name, first_name,name,year,p_formatted_ip,p_earned_run,p_era
Cuevas, William, William Cuevas,2018,17,14,
Baumann, Buddy, Buddy Baumann,2018,3.1,10,
Beck, Chris, Chris Beck,2018,34,17,
Boyd, Matthew, Matthew Boyd,2018,170.1,83,
Cingrani, Tony, Tony Cingrani,2018,22.2,12,
Corbin, Patrick, Patrick Corbin,2018,200,70,
Davidson, Matt, Matt Davidson,2018,3,0,
Farmer, Buck, Buck Farmer,2018,69.1,32,
Fiers, Mike, Mike Fiers,2018,172,68,
Floro, Dylan, Dylan Floro,2018,64,16,
Giles, Ken, Ken Giles,2018,50.1,26,
Givens, Mychal, Mychal Givens,2018,76.2,34,
Hale, David, David Hale,2018,13.2,7,
Heaney, Andrew, Andrew Heaney,2018,180,83,
Hutchison, Drew, Drew Hutchison,2018,42.2,32,
Koch, Matt, Matt Koch,2018,86.2,40,
Law, Derek, Derek Law,2018,13.1,11,
Liberatore, Adam, Adam Liberatore,2018,13,4,
Loup, Aaron, Aaron Loup,2018,39.2,20,
Matz, Steven, Steven Matz,2018,154,68,
Mikolas, Miles, Miles Mikolas,2018,200.2,63,
Miller, Shelby, Shelby Miller,2018,16,19,
Milner, Hoby, Hoby Milner,2018,7.1,6,
Mitchell, Bryan, Bryan Mitchell,2018,73,44,
Paxton, James, James Paxton,2018,160.1,67,
Pazos, James, James Pazos,2018,50,16,
Pounders, Brooks, Brooks Pounders,2018,15.1,13,
Richards, Garrett, Garrett Richards,2018,76.1,31,
Skaggs, Tyler, Tyler Skaggs,2018,125.1,56,
Smith, Burch, Burch Smith,2018,78,60,
Tepera, Ryan, Ryan Tepera,2018,64.2,26,
Valdez, Jose A., Jose A. Valdez,2018,5,7,
Erlin, Robbie, Robbie Erlin,2018,109,51,
VerHagen, Drew, Drew VerHagen,2018,56.1,29,
Bard, Luke, Luke Bard,2018,11.2,7,
Butler, Eddie, Eddie Butler,2018,49.2,31,
Greene, Shane, Shane Greene,2018,63.1,36,
Johnson, Pierce, Pierce Johnson,2018,43.2,27,
Keuchel, Dallas, Dallas Keuchel,2018,204.2,85,
Lucas, Josh, Josh Lucas,2018,14.1,10,
Morin, Mike, Mike Morin,2018,4,3,
Nuno III, Vidal, Vidal Nuno III,2018,33,6,
Ramos, AJ, AJ Ramos,2018,19.2,14,
Rogers, Taylor, Taylor Rogers,2018,68.1,20,
