last_name, first_name,year,on_base_plus_slg,
Mahtook, Mikie,2018,.635,
McCann, James,2018,.581,
Miller, Brad,2018,.724,
Montgomery, Mike,2018,.205,
Rendon, Anthony,2018,.909,
Roark, Tanner,2018,.459,
Semien, Marcus,2018,.705,
Shaw, Travis,2018,.824,
Shuck, JB,2018,.484,
Springer, George,2018,.777,
Gordon, Dee,2018,.633,
Vazquez, Christian,2018,.539,
Wong, Kolten,2018,.715,
Gregorius, Didi,2018,.828,
Garcia, Leury,2018,.674,
den Dekker, Matthew,2018,.095,
Strasburg, Stephen,2018,.259,
Vargas, Ildemaro,2018,.618,
Fontana, Nolan,2018,.530,
Grichuk, Randal,2018,.803,
Marisnick, Jake,2018,.671,
Stassi, Max,2018,.710,
Trout, Mike,2018,1.087,
Herrera, Odubel,2018,.730,
Alford, Anthony,2018,.296,
Almora Jr., Albert,2018,.700,
Ruiz, Rio,2018,.350,
Delmonico, Nicky,2018,.669,
Wolters, Tony,2018,.577,
Lorenzen, Michael,2018,1.033,
Harper, Bryce,2018,.889,
Perez, Roberto,2018,.510,
Ngoepe, Gift,2018,.161,
Ryu, Hyun-Jin,2018,.608,
Martin, Leonys,2018,.747,
Abreu, Jose,2018,.798,
Stripling, Ross,2018,.172,
Diaz, Elias,2018,.792,
Narvaez, Omar,2018,.792,
Astudillo, Willians,2018,.887,
Machado, Dixon,2018,.552,
Suarez, Eugenio,2018,.892,
Wheeler, Zack,2018,.415,
Polanco, Gregory,2018,.837,
Santana, Domingo,2018,.740,
Gonzalez, Erik,2018,.676,
Urshela, Gio,2018,.608,
Sanchez, Yolmer,2018,.677,
Urena, Jose,2018,.120,
Schoop, Jonathan,2018,.682,
Villanueva, Christian,2018,.750,
Adams, Matt,2018,.786,
Altherr, Aaron,2018,.628,
Arenado, Nolan,2018,.934,
Barnhart, Tucker,2018,.697,
Bour, Justin,2018,.746,
Corbin, Patrick,2018,.422,
Cuevas, Noel,2018,.583,
Davidson, Matt,2018,.738,
Farmer, Kyle,2018,.635,
Freitas, David,2018,.576,
Gennett, Scooter,2018,.846,
Goodwin, Brian,2018,.707,
Hamilton, Billy,2018,.626,
Haniger, Mitch,2018,.859,
Hernandez, Enrique,2018,.803,
Holt, Brock,2018,.774,
Kelly, Ty,2018,.258,
Kieboom, Spencer,2018,.642,
Koch, Matt,2018,.233,
Lamb, Jake,2018,.655,
Maile, Luke,2018,.700,
Marrero, Deven,2018,.429,
Matz, Steven,2018,.412,
Mikolas, Miles,2018,.409,
Mitchell, Bryan,2018,.216,
Muncy, Max,2018,.973,
Murphy, John Ryan,2018,.617,
Myers, Wil,2018,.763,
Naquin, Tyler,2018,.651,
Owings, Chris,2018,.574,
Phegley, Josh,2018,.599,
Piscotty, Stephen,2018,.821,
Pollock, A.J.,2018,.799,
Rickard, Joey,2018,.713,
Seager, Kyle,2018,.673,
Susac, Andrew,2018,.269,
Taylor, Michael A.,2018,.643,
Thompson, Trayce,2018,.372,
Voit, Luke,2018,1.069,
Walker, Christian,2018,.614,
Zunino, Mike,2018,.669,
Erlin, Robbie,2018,.440,
Goins, Ryan,2018,.563,
Adams, Lane,2018,.865,
Carpenter, Matt,2018,.897,
Dickerson, Corey,2018,.804,
Dozier, Brian,2018,.696,
Saladino, Tyler,2018,.692,
Straily, Dan,2018,.519,
Contreras, Willson,2018,.729,
Gyorko, Jedd,2018,.762,
Iglesias, Jose,2018,.697,
Travis, Devon,2018,.656,
Johnson, Sherman,2018,.091,
Hechavarria, Adeiny,2018,.622,
Torreyes, Ronald,2018,.664,
Osuna, Jose,2018,.648,
Valera, Breyvic,2018,.559,
Austin, Tyler,2018,.767,
Bryant, Kris,2018,.834,
Canha, Mark,2018,.778,
Casali, Curt,2018,.803,
Castellanos, Nicholas,2018,.854,
Cowart, Kaleb,2018,.451,
DeShields, Delino,2018,.582,
Drury, Brandon,2018,.516,
Foltynewicz, Mike,2018,.114,
Gamel, Ben,2018,.728,
Gausman, Kevin,2018,.248,
Goodrum, Niko,2018,.747,
Gray, Jon,2018,.230,
Healy, Ryon,2018,.688,
Holaday, Bryan,2018,.517,
Jones, JaCoby,2018,.629,
Judge, Aaron,2018,.919,
Kingham, Nick,2018,.290,
Machado, Manny,2018,.905,
Moran, Colin,2018,.747,
Pederson, Joc,2018,.842,
Pompey, Dalton,2018,.473,
Ray, Robbie,2018,.171,
Realmuto, J.T.,2018,.823,
Renfroe, Hunter,2018,.805,
Rivera, Yadiel,2018,.485,
Robinson, Drew,2018,.582,
Rosario, Eddie,2018,.802,
Simmons, Andrelton,2018,.754,
Smith, Caleb,2018,.252,
Syndergaard, Noah,2018,.305,
Taillon, Jameson,2018,.167,
Toles, Andrew,2018,.581,
Velasquez, Vince,2018,.450,
Wilkerson, Stevie,2018,.464,
Williams, Mason,2018,.724,
Williams, Trevor,2018,.254,
Yelich, Christian,2018,1.000,
Merrifield, Whit,2018,.805,
Martinez, Carlos,2018,.616,
Bogaerts, Xander,2018,.883,
Castro, Daniel,2018,.452,
Torres, Ramon,2018,.421,
Bonifacio, Jorge,2018,.671,
Alberto, Hanser,2018,.493,
Brito, Socrates,2018,.477,
Hanson, Alen,2018,.696,
Polanco, Jorge,2018,.769,
Sano, Miguel,2018,.679,
Briceno, Jose,2018,.681,
Herrera, Rosell,2018,.601,
Difo, Wilmer,2018,.647,
Calhoun, Kole,2018,.651,
deGrom, Jacob,2018,.382,
Duvall, Adam,2018,.639,
Eaton, Adam,2018,.803,
Garcia, Greg,2018,.612,
Gattis, Evan,2018,.736,
Gosselin, Phil,2018,.500,
Palka, Daniel,2018,.778,
Ponce de Leon, Daniel,2018,.433,
Schebler, Scott,2018,.777,
Gerber, Mike,2018,.289,
Kiermaier, Kevin,2018,.651,
Knapp, Andrew,2018,.609,
Reinheimer, Jack,2018,.452,
Riddle, JT,2018,.651,
Wallach, Chad,2018,.536,
Alfaro, Jorge,2018,.731,
Profar, Jurickson,2018,.793,
Baez, Javier,2018,.880,
Bird, Greg,2018,.672,
Cave, Jake,2018,.784,
Evans, Phillip,2018,.360,
Gallagher, Cam,2018,.548,
Hedges, Austin,2018,.711,
Kramer, Kevin,2018,.310,
Lindor, Francisco,2018,.869,
Odor, Rougned,2018,.749,
Slater, Austin,2018,.640,
Smith Jr, Dwight,2018,.824,
Story, Trevor,2018,.914,
Swihart, Blake,2018,.613,
Vogelbach, Daniel,2018,.691,
Weaver, Luke,2018,.310,
Sanchez, Gary,2018,.697,
Sardinas, Luis,2018,.478,
Cuthbert, Cheslor,2018,.583,
Kepler, Max,2018,.727,
Gomber, Austin,2018,.454,
Quinn, Roman,2018,.727,
Franco, Maikel,2018,.780,
Choi, Ji-Man,2018,.863,
Bradley Jr., Jackie,2018,.717,
O'Brien, Peter,2018,.868,
Herrera, Dilson,2018,.682,
Motter, Taylor,2018,.472,
La Stella, Tommy,2018,.665,
Severino, Pedro,2018,.501,
Nunez, Renato,2018,.741,
Candelario, Jeimer,2018,.710,
Pivetta, Nick,2018,.258,
Guerrero, Gabriel,2018,.500,
Rondon, Jose,2018,.750,
Ahmed, Nick,2018,.700,
Anderson, Brian,2018,.757,
Barnes, Austin,2018,.618,
Bell, Josh,2018,.768,
Betts, Mookie,2018,1.078,
Caratini, Victor,2018,.594,
